100001	Bypass Splenic Artery to Right Renal Artery with Autologous Venous Tissue, Open Approach	2021-01-01	2021-02-28
100002	Excision of Right Tarsal, Percutaneous Approach, Diagnostic	2021-01-01	2021-02-28
100003	Supplement Left Fallopian Tube with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic	2021-01-01	2021-02-28
100004	Bypass Ileum to Rectum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach	2021-01-01	2021-02-28
100005	Fusion of Left Knee Joint with Internal Fixation Device, Percutaneous Endoscopic Approach	2021-01-01	2021-02-28
100006	Occlusion of Left Radial Artery with Extraluminal Device, Percutaneous Endoscopic Approach	2021-01-01	2021-02-28
100007	Visual Motor Integration Treatment using Voice Analysis Equipment	2021-01-01	2021-02-28
100008	Drainage of Left Vertebral Vein, Open Approach, Diagnostic	2021-01-01	2021-02-28
100009	Supplement Nasal Turbinate with Autologous Tissue Substitute, Open Approach	2021-01-01	2021-02-28
100010	Supplement Right Elbow Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach	2021-01-01	2021-02-28
100011	Reposition Right Ulna with External Fixation Device, Open Approach	2021-01-01	2021-02-28
100012	Drainage of Pudendal Nerve with Drainage Device, Open Approach	2021-01-01	2021-02-28
100013	Removal of Intraluminal Device from Vagina and Cul-de-sac, External Approach	2021-01-01	2021-02-28
100014	Restriction of Ascending Colon with Intraluminal Device, Open Approach	2021-01-01	2021-02-28
100015	Dilation of Ascending Colon with Intraluminal Device, Percutaneous Approach	2021-01-01	2021-02-28
100016	Detachment at Left Upper Arm, Low, Open Approach	2021-01-01	2021-02-28
100017	Bypass Right Internal Iliac Artery to Right External Iliac Artery with Autologous Arterial Tissue, Open Approach	2021-01-01	2021-02-28
100018	Transfusion of Nonautologous Plasma Cryoprecipitate into Central Vein, Percutaneous Approach	2021-01-01	2021-02-28
100019	Restriction of Right Cephalic Vein, Percutaneous Approach	2021-01-01	2021-02-28
100020	Reposition Right Superior Parathyroid Gland, Open Approach	2021-01-01	2021-02-28
100021	Fusion of Left Metatarsal-Tarsal Joint with Nonautologous Tissue Substitute, Percutaneous Approach	2021-01-01	2021-02-28
100022	Fusion of Right Shoulder Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach	2021-01-01	2021-02-28
100023	Repair Left Fallopian Tube, Percutaneous Endoscopic Approach	2021-01-01	2021-02-28
100024	Restriction of Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic	2021-01-01	2021-02-28
100025	Drainage of Vulva with Drainage Device, External Approach	2021-01-01	2021-02-28
100026	Insertion of Infusion Device into Right Ulnar Artery, Percutaneous Endoscopic Approach	2021-01-01	2021-02-28
100027	Alteration of Right Wrist Region with Synthetic Substitute, Open Approach	2021-01-01	2021-02-28
100028	Revision of Autologous Tissue Substitute in Thoracic Vertebra, Percutaneous Approach	2021-01-01	2021-02-28
100029	Destruction of Left Inguinal Lymphatic, Percutaneous Approach	2021-01-01	2021-02-28
100030	Removal of Nonautologous Tissue Substitute from Lumbosacral Disc, Percutaneous Approach	2021-01-01	2021-02-28
100031	Removal of Extraluminal Device from Epididymis and Spermatic Cord, Via Natural or Artificial Opening Endoscopic	2021-03-01	2021-04-30
100032	Supplement of Perineum Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Percutaneous Approach	2021-03-01	2021-04-30
100033	Insertion of Monoplanar External Fixation Device into Left Femoral Shaft, Percutaneous Approach	2021-03-01	2021-04-30
100034	Release Cul-de-sac, Via Natural or Artificial Opening Endoscopic	2021-03-01	2021-04-30
100035	Replacement of Right Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach	2021-03-01	2021-04-30
100036	Dilation of Inferior Mesenteric Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach	2021-03-01	2021-04-30
100037	Excision of Left Hypogastric Vein, Percutaneous Endoscopic Approach	2021-03-01	2021-04-30
100038	Static Orthosis Device Fitting using Orthosis	2021-03-01	2021-04-30
100039	Wound Management Treatment of Musculoskeletal System - Head and Neck using Physical Agents	2021-03-01	2021-04-30
100040	Dilation of Left Anterior Tibial Artery with Four or More Intraluminal Devices, Open Approach	2021-03-01	2021-04-30
100041	Supplement Large Intestine with Nonautologous Tissue Substitute, Open Approach	2021-03-01	2021-04-30
100042	Division of Left Upper Extremity Bursa and Ligament, Percutaneous Approach	2021-03-01	2021-04-30
100043	Supplement Left Ankle Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach	2021-03-01	2021-04-30
100044	Replacement of Right Upper Leg Skin with Synthetic Substitute, External Approach	2021-03-01	2021-04-30
100045	Dilation of Right Renal Vein, Percutaneous Approach	2021-03-01	2021-04-30
100046	Insertion of Monitoring Device into Ureter, Via Natural or Artificial Opening	2021-03-01	2021-04-30
100047	Repair Hypothalamus, Percutaneous Approach	2021-03-01	2021-04-30
100048	Bypass Left Common Iliac Artery to Bilateral Common Iliac Arteries with Synthetic Substitute, Open Approach	2021-03-01	2021-04-30
100049	Magnetic Resonance Imaging (MRI) of Left Knee using Other Contrast	2021-03-01	2021-04-30
100050	Drainage of Stomach, Percutaneous Approach, Diagnostic	2021-03-01	2021-04-30
100051	Replacement of Left Acetabulum with Synthetic Substitute, Open Approach	2021-03-01	2021-04-30
100052	Revision of Synthetic Substitute in Right Toe Phalanx, Open Approach	2021-03-01	2021-04-30
100053	Dilation of Right Posterior Tibial Artery with Three Intraluminal Devices, Open Approach	2021-03-01	2021-04-30
100054	Dilation of Left Kidney Pelvis, Via Natural or Artificial Opening	2021-03-01	2021-04-30
100055	Reposition Left Lower Leg Muscle, Open Approach	2021-03-01	2021-04-30
100056	Revision of Radioactive Element in Cranial Cavity, Open Approach	2021-03-01	2021-04-30
100057	Beam Radiation of Abdomen Lymphatics using Photons >10 MeV	2021-03-01	2021-04-30
100058	Drainage of Left Femoral Artery, Percutaneous Approach, Diagnostic	2021-03-01	2021-04-30
100059	Extraction of Left Femoral Vein, Percutaneous Endoscopic Approach	2021-03-01	2021-04-30
100060	Excision of Right Neck Lymphatic, Percutaneous Approach	2021-03-01	2021-04-30
100061	Bypass Jejunum to Cecum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic	2021-01-01	2021-04-30
100062	Repair Right Radial Artery, Percutaneous Endoscopic Approach	2021-01-01	2021-04-30
100063	Plain Radiography of Right Common Carotid Artery using Low Osmolar Contrast	2021-01-01	2021-04-30
100064	Reposition Right Knee Joint with Internal Fixation Device, External Approach	2021-01-01	2021-04-30
100065	Restriction of Gastric Artery with Extraluminal Device, Percutaneous Endoscopic Approach	2021-01-01	2021-04-30
100066	Map Brain, Open Approach	2021-01-01	2021-04-30
100067	Release Right Abdomen Muscle, Percutaneous Approach	2021-01-01	2021-04-30
100068	Drainage of Left External Auditory Canal, Via Natural or Artificial Opening Endoscopic	2021-01-01	2021-04-30
100069	Insertion of Stimulator Generator into Back Subcutaneous Tissue and Fascia, Open Approach	2021-01-01	2021-04-30
100070	Drainage of Lumbosacral Plexus with Drainage Device, Open Approach	2021-01-01	2021-04-30
100071	Release Left Upper Leg Muscle, Percutaneous Approach	2021-01-01	2021-04-30
100072	Bypass Abdominal Aorta to Bilateral Femoral Arteries, Percutaneous Endoscopic Approach	2021-01-01	2021-04-30
100073	Repair Right Abdomen Muscle, Open Approach	2021-01-01	2021-04-30
100074	Drainage of Right Elbow Bursa and Ligament with Drainage Device, Percutaneous Approach	2021-01-01	2021-04-30
100075	Bypass Left Internal Jugular Vein to Upper Vein with Autologous Arterial Tissue, Open Approach	2021-01-01	2021-04-30
100076	Supplement Stomach with Autologous Tissue Substitute, Percutaneous Endoscopic Approach	2021-01-01	2021-04-30
100077	Revision of Infusion Device in Right Carpal Joint, Open Approach	2021-01-01	2021-04-30
100078	Revision of Nonautologous Tissue Substitute in Lower Extremity Subcutaneous Tissue and Fascia, Percutaneous Approach	2021-01-01	2021-04-30
100079	Release Right Metacarpocarpal Joint, External Approach	2021-01-01	2021-04-30
100080	Hyperthermia of Buttock Skin	2021-01-01	2021-04-30
100081	Bypass Left Internal Iliac Artery to Right External Iliac Artery, Percutaneous Endoscopic Approach	2021-01-01	2021-04-30
100082	Drainage of Trigeminal Nerve with Drainage Device, Open Approach	2021-01-01	2021-04-30
100083	Restriction of Ampulla of Vater, Percutaneous Approach	2021-01-01	2021-04-30
100084	Drainage of Peritoneum, Percutaneous Approach	2021-01-01	2021-04-30
100085	Transfer Abducens Nerve to Trochlear Nerve, Percutaneous Endoscopic Approach	2021-01-01	2021-04-30
100086	Drainage of Right Seminal Vesicle, Percutaneous Endoscopic Approach, Diagnostic	2021-01-01	2021-04-30
100087	Bypass Right Femoral Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach	2021-01-01	2021-04-30
100088	High Dose Rate (HDR) Brachytherapy of Soft Palate using Californium 252 (Cf-252)	2021-01-01	2021-04-30
100089	Removal of Drainage Device from Left Hip Joint, Percutaneous Approach	2021-01-01	2021-04-30
100090	Revision of Nonautologous Tissue Substitute in Hepatobiliary Duct, Percutaneous Approach	2021-01-01	2021-04-30
100091	Magnetic Resonance Imaging (MRI) of Bilateral Breasts	2021-01-01	2021-04-30
100092	Drainage of Cervical Spinal Cord, Open Approach, Diagnostic	2021-01-01	2021-04-30
100093	Occlusion of Right Axillary Vein, Open Approach	2021-01-01	2021-04-30
100094	Repair Right Lower Leg Tendon, Percutaneous Approach	2021-01-01	2021-04-30
100095	Division of Left Pelvic Bone, Percutaneous Approach	2021-01-01	2021-04-30
100096	Revision of Nonautologous Tissue Substitute in Brain, External Approach	2021-01-01	2021-04-30
100097	Supplement Right Knee Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach	2021-01-01	2021-04-30
100098	Supplement Left Metatarsal-Phalangeal Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach	2021-01-01	2021-04-30
100099	Replacement of Right Popliteal Artery with Nonautologous Tissue Substitute, Open Approach	2021-01-01	2021-04-30
100100	Hyperthermia of Duodenum	2021-01-01	2021-04-30
